year,make,model,hpv,Efficiency_km/L
2016,Honda,Pilot 2WD,0,9.353161554
2016,Jeep,Compass FWD,0,10.628592675
2016,Jeep,Patriot FWD,0,10.203448968
2016,Jeep,Patriot FWD,0,10.628592675
2016,Jeep,Compass FWD,0,10.203448968
2016,Audi,Q5,0,11.053736382
2016,Audi,Q5,0,9.353161554
2016,Audi,Q5,0,8.928017847
2016,Audi,SQ5,0,8.077730433
2016,Audi,Q5 Hybrid,0,11.053736382
2016,Honda,Pilot 4WD,0,9.353161554
2016,Honda,Pilot 4WD,0,8.928017847
2016,Jeep,Compass 4WD,0,8.928017847
2016,Jeep,Compass 4WD,0,9.353161554
2016,Jeep,Compass 4WD,0,10.203448968
2016,Jeep,Patriot 4WD,0,8.928017847
2016,Jeep,Patriot 4WD,0,9.353161554
2016,Jeep,Patriot 4WD,0,10.203448968
2016,Jeep,Cherokee 4WD,0,9.778305261
2016,Subaru,Outback AWD,0,11.904023795999999
2016,Subaru,Outback AWD,0,9.353161554
2016,Cadillac,SRX,0,8.077730433
2016,Chevrolet,Corvette,0,6.802299312
2016,Chevrolet,Corvette,0,7.652586726
2016,Chevrolet,Corvette,0,8.50287414
2016,Chevrolet,Corvette,0,8.928017847
2016,Pagani,Huayra Coupe,0,5.526868191
2016,Hyundai,Genesis Coupe,0,8.077730433
2016,Buick,Verano,0,10.203448968
2016,Buick,Verano,0,10.203448968
2016,Buick,Verano,0,10.203448968
2016,Chevrolet,Sonic,0,13.604598624
2016,Chevrolet,Sonic RS,0,12.329167502999999
2016,Chevrolet,Sonic,0,12.75431121
2016,Chevrolet,Sonic RS,0,11.904023795999999
2016,Chevrolet,Sonic,0,11.904023795999999
2016,Chevrolet,Sonic,0,12.329167502999999
2016,Buick,LaCrosse AWD,0,8.50287414
2016,Buick,Regal AWD,0,9.353161554
2016,Buick,Regal,0,10.203448968
2016,Buick,Regal,0,10.203448968
2016,Buick,LaCrosse,0,8.928017847
2016,Buick,LaCrosse,0,8.928017847
2016,Buick,Regal eAssist,0,11.904023795999999
2016,Buick,LaCrosse eAssist,0,11.904023795999999
2016,Buick,Regal,0,9.778305261
2016,Chevrolet,Cruze Limited  Eco,0,14.029742331
2016,Chevrolet,Sonic 5 RS,0,12.329167502999999
2016,Chevrolet,Cruze Limited  Eco,0,12.75431121
2016,Chevrolet,Cruze Limited,0,12.75431121
2016,Chevrolet,Sonic 5 RS,0,11.904023795999999
2016,Chevrolet,Cruze Limited,0,12.75431121
2016,Chevrolet,Cruze Limited,0,11.053736382
2016,Kia,Optima Hybrid,0,15.730317159
2016,Kia,Optima Hybrid EX,0,15.305173452
2016,Cadillac,XTS,0,8.928017847
2016,Cadillac,XTS AWD,0,8.50287414
2016,Chevrolet,Impala,0,9.353161554
2016,Chevrolet,Impala,0,8.928017847
2016,Hyundai,Sonata,0,11.053736382
2016,Hyundai,Sonata Limited,0,10.203448968
2016,Hyundai,Sonata,0,12.329167502999999
2016,Hyundai,Sonata Sport Limited,0,11.904023795999999
2016,Hyundai,Sonata,0,13.179454917
2016,Hyundai,Genesis AWD,0,8.077730433
2016,Hyundai,Genesis RWD,0,9.353161554
2016,Chevrolet,Sonic 5,0,13.604598624
2016,Chevrolet,Sonic 5,0,12.75431121
2016,Chevrolet,Sonic 5,0,11.904023795999999
2016,Chevrolet,Sonic 5,0,12.329167502999999
2016,Ram,1500 HFE 2WD,0,8.928017847
2016,Ram,Promaster City,0,10.203448968
